text,label
برنامه تان ادامه داشته باشد,1
خودشم نفهمیدچکارمیکنه,0
خداروشکر مبارک باشه,1
اتفاقا خیلی تیزه,1
مسخره بازیه,0
بشیر امشب کلا عقل نداره,0
واقعاحیفه ک تکرارنداره,1
حیایی,1
ایووووووووول احسان,1
مسخره بود,0
صدأت قشنگه,1
حالا كه چي,0
چه زیر ابروییم برداشته,0
عالی بودیدعزیزانم,1
نخونين چيكار كنين ديگه,0
بهترین هستید,1
صداش وسبک خوندنش خیلی خاص بود,1
واقعاکل این قسمتش افتضاح بود,0
چیکار کرد این من که نفهميدم,0
ترکوندید,1
اینام عالی بودن,1
این چیش عالی بود,0
از خواننده اولی خیلی بهتر بود,1
انگار اومده تو پارک بازی میکنه,0
خیلی تکراری شده خواننده ها زیاده,0
صداش خیلی قشنگ بود,1
خیلی دوسش دارمممممم,1
عاااااااالي,1
خیییلی کلک ضایعی زد مزخرف,0
دم اریاگرم,1
کلان خوب نبود دوستان,0
جالبع کارش,1
این چقد مسخره بود,0
اصن امین حیایی عشقه,1
عااااالییییییییییییی,1
داورها باید عوض بشن,0
خیلی باحال بود,1
صداش گوه بود,0
دمتون گرم بچه ها عالی بودین,1
فقط اهنگش,1
جالب بود,1
آریا خوب حالشو گرفت دمش گرم,1
عالی بود بچه های دهدشت,1
عالیییییییی,1
بی نظیرید,1
عالی بودد,1
واقعا دمشون گرم,1
بنظر من این بهترین اجرا بود,1
ماشالله بهتون ک بیستیت,1
از اولی خیلی بهتر بود,1
آفرین برادر,1
اصولی داوری نمیشه,0
خیلییی بد بود,0
عالی بودی,1
این گروه عالی بودن,1
بسیار عالی خوند,1
شبیه شیر بعد مق بود,0
خوب بود,1
این پسر واقعا فوق العاده بود,1
دمت گرم,1
خدا قوت پهلوون  ماشاءا,1
داور دددقت کن,0
اجراشون عالی بود,1
حیایی عشقه,1
خوب بودن و متفاوت,1
باریکلا پسر,1
خییییییلیییییی جااااالب و عااااالی بودن,1
خیلی خز بود,0
عالی بود صداش,1
خیلی زیبا و دیدنی بود کارشون,1
ولا داورها گند زدند تو برنامه,0
اییییششش,0
فوق االعاددددددده بودن,1
اول نباشید جای تعجب داره,1
هنرمند,1
عااالی بودن,1
اجرای خیلی چرتی بود,0
چ صداي گيراييي,1
به معنای واقعی کلمه تر زد,0
درود برشرفت صداش عالی,1
ای جانم  پسرگلم,1
اقا امیر موفق باشید,1
عالی بودن عالی,1
دو تا رای کافی بود,0
عشق من,1
صداش واقعا عالیه,1
خیلی عالی بود,1
خیلی عالی بودن دمشون گرم,1
ريده,0
باریکلا خوب بود کار آرش,1
عالیی موفق باشید,1
تو خونه میموندی سنگین تر بودی,0
عالییییییه,1
باحال بودن,1
مسخره بازی این چیه,0
این دکتر انصافا خیلی نچسبه,0
خوشم نمیومد,0
عاااالی,1
صداش خوب بود,1
برنامه افت کرده,0
اینا داورن ناموسن  عصر عجیب,0
طفلیا ضدحال بهش زدین ک,0
جفتشون خوب نبودن,0
آرش جونم عالی بودی,1
کارش عالی بود,1
باریکلا آریا,1
دمش گررررم,1
مررررسی بچه های گچساراالن,1
ماشالا داداش,1
مسخره,0
عزیزم,1
عالی بود صداش انصافا,1
ابرو هرچی شعبده بازه برد,0
چرت پرت,0
عالی بودن دمتون گرم,1
خیلی خوب خوند افرین,1
مزخرفه داوراش,0
عالللییی,1
استرس داشت حیف شد,0
بدبختا خایه نداشتن قرمزبدن,0
جالب بودددد,1
جذاب بود,1
چه باحال,1
ماشالله عالی بودن,1
مضخرف,0
برنامتون عالیه,1
عالیییییییییی بود,1
همه خووووبن,1
این اجرا زیبا نبود,0
بهترین آخه شما چقدر خوبی,1
خراب کرد بدجوری,0
عالی بودید,1
صداش تخمی بود,0
پرچم لرا بالاست,1
چرا داوران اینو انتخاب نکردن,0
اینا هم عالی بودن خسته نباشن,1
ماشالا آرش عالی بود,1
خیلی ممنونم,1
آینده درخشانی داره,1
امین حیایی عاشقتم,1
افتضاح بد بود,0
ب نظرم زیاد جالب نبود,0
عاااالي,1
ولی باحال خوندااا,1
عالی وبودن,1
مفهوم نداشت,0
کارتون حرف نداشت عالی بودین دسخوش,1
عالی بووودن,1
خیلی آماتور بود,0
گروه شما هم خیلی عالی بودن,1
خیلی خیلی بد خوندی,0
آفرین کارت عالی بود,1
فرهان عزيز دلم عالي بود,1
امین حیایی خیلی عالیه,1
چقد خوب بود,1
وای بدمینتون من خیلی دوس داستم,1
واقعا خیلی سخت بود افرین,1
مبارک باشه,1
بامزه بود,1
عالي بودن ميدونستم برنده ميشن,1
این چقد مزخرف بود,0
دروغه,0
فرهااان عالی بود,1
فقط باید رید تو برنامتون واقعا,0
عالی بودید ممنون,1
من صداشو خیلی دوست داشتم,1
و باید حرفه ای تر میبود,0
بابا خیلی چرت بود,0
خووب بود درنوع خودش,1
خیلی خفن بودن,1
این پسره خیلی بد ضایه شد,0
حیف شد عالی بود این,1
آخه هر کسی خواننده نمیشه که,0
فوق العاده بودین پسرا دمتون گرم,1
قیافه پشیر,0
جالب نبود,0
عالیه,1
نونهالی مثل اسمش بچگونه تصمیم میگیره,0
خطا داشتن ولی قشنگ بود کارشون,1
صداش خوبه ولی رای ما شروینه,0
شبیه کتلت,0
خودش شبیه مستربین بود,1
خیلی هم خوب خوند,1
واقعن عالی,1
دوست نداشتم,0
عالی عجب برنامه ای,1
گلزار خیلی بهتر بود,0
خیلی بد بود,0
شرکت نکن داداچ داری اشتباه میزنی,0
عالی بودش,1
خیلی خوشم اومد,1
جون ببا,1
دقیقا عقده ازش میچکه,0
عالی بودند,1
چقدر بد بود اه اه,0
بعد عیدم هرشب پخش کنین,1
صداش قشنگ بود,1
این چهارتا داور هیچی حالیشون نیست,0
خیلی شخمی بود ,0
ادا  کپی برداری  مردم فریبی  باند بازی,0
درسته ولی کاملا صداش خوب بود,1
کیا موافقن کسایه بهتری میتونست جای این داورا بیارن ,0
به نظر من آقای احسان علی خانی داوارای خوبی انتخاب نکرده,0
ایول داداش  خیلی اجرات قشنگ بود ,1
عاشق برنامه ی عصرجدیدم,1
کارش عالی بود هر کی موافقه لایک کنه ,1
خیلیی قشنگ بود این کلا فازش بالا بود و انرژی خوبی داشت ,1
اگه داورارو از ذهن خود بندازیم بیرون واقعا قشنگ بود   ,0
خدا قوت به شما و خسته نباشید     دمتون گرم گروه موفق و پرانرژی عصرجدید ,1
بهترین برنامه کل تاریخ تلوزیون ممنون آقای علیخانی ,1
